title,description,description_bottom,category
"Acer Acer UM.FB6AA.001 24-Inch Screen LCD Monitor, Dark Gray","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Display Area: 24"" LED-backlit display Aspect Ratio: 16: 9 Max/Native Resolution: 1920x 1080 Interface: 1x VGA Port adjustable display angle,Viewing Angles:170° horizontal,160° vertical 60 hertz","Acer B246HL ymdr 24 LED Monitor. Power Description : Input Voltage - 230 V AC and 120 V AC, Standby Power Consumption - 450 mW, Off-Mode Power Consumption - 350 mW, Operating Power Consumption (Energy Star) - 20.90 W.",monitors
"AOPEN 27CH2 bix 27"" Full HD (1920 x 1080) IPS Monitor | 75Hz Refresh Rate | 4ms Response Time | 1 x HDMI & 1 x VGA Port","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27.0"" Full HD (1920 x 1080) Widescreen IPS Display Refresh Rate: 75Hz - Using HDMI Port Response Time: 4ms | Tilt: -5° to 20° AOPEN Eye Protection: BlueLight Filter & Flickerless Technology Ports: 1 x HDMI & 1 x VGA (HDMI Cable Included)",,monitors
"Acer CBL272U smiiprx 27"" WQHD (2560 x 1440) IPS Frameless, AMD FreeSync, 99% sRGB, ErgoStand, TUV and Eyesafe Certified Low Blue Light Monitor (Display Port, 2 x HDMI 2.0 Ports)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27.0"" WQHD (2560 x 1440) Widescreen IPS TUV and Eyesafe Certified Low Blue Light Monitor AMD FreeSync Technology | Zero-Frame Design Refresh Rate: 75Hz | Response Time: 1ms VRB | Brightness: 350 nits | Pixel Pitch: 0.233mm 16:9 Aspect Ratio | 16.7 million colors supported | Tilt: -5 degrees to 25 degrees | Height Adjustment Range: 4.7"" | Swivel: 360° | Pivot Ports: 1 x Display Port & 2 x HDMI 2.0 (HDMI Cable Included)","Delve into the world of awesome with Acer's CBL272U WQHD monitor, which offers an unmatched viewing experience. Featuring a large 27” screen that delivers astonishing, 2560 x 14400 resolution with excellent detail. Designed with prosumers in mind, this display features incredible images and colors. This Eyesafe Display intelligently manages light energy at the source – selectively reducing blue light and dispersing across the light spectrum. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM.HB2AA.008)",monitors
"Acer ConceptD CM3 CM3271K bmiipruzx 27"" UHD 4K 3840 x 2160 IPS Radeon FreeSync Monitor, Pantone Validated, DisplayHDR400, 99% Adobe RGB, Delta E<2 (Display Port, 2 x HDMI, USB Type-C & USB Ports)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27"" UHD 4K (3840 x 2160) Widescreen IPS AMD Radeon FreeSync Display PANTONE Validated | High Brightness and Contrast with VESA Certified DisplayHDR400 No Color Difference with Delta E<2 | Up to 400nit Brightness | 99% Adobe RGB Response Time: 4ms (G to G) | 2 speakers, 4 watts per speaker Ports: 1 x USB 3.1 (Type-C) Port, 1 x Display Port, 2 x HDMI and 4 x USB 3.0 Downstream Ports & 2 x USB 3.0 Upstream Ports (Includes USB Type-C, HDMI and USB Cables)","Display Size: 27 Inches | 

Style: UHD (3840 x 2160) We created the ConceptD CM3 Series for professional CG creators who need a monitor with outstanding color accuracy and reliable compatibility. Resolution, color accuracy, and the ability to work with HDR content are all top priorities. They also need high refresh rates for blur-free images, and a large screen to help the design process and facilitate collaboration. This audience appreciates a nicely designed product, but consider performance more important. (UM.HC1AA.001)",monitors
"Acer Predator XB271HU Abmiprz 27-inch WQHD (2560x1440) NVIDIA G-SYNC Monitor (Display Port & HDMI Port, 144Hz),Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27"" WQHD (2560 x 1440) Widescreen with NVIDIA G-SYNC Technology. Refresh Rate: 144Hz (Overclocking to 165Hz)-Using Display Port. Operating Power Consumption (Energy Star): 32. 02 W. Standby Power Consumption : 470 mW Response Time: 1ms, Pixel Pitch: 0. 233mm. Flicker-less Technology-Reduces annoying screen flickering that can cause eye strain when viewing the monitor for long periods. Signal Inputs: 1 x Display Port & 1 x HDMI 1. 4. Panel Type: TN Mounting type: VESA Standard Mount Interface600mm x 400mm","Fasten your seatbelt: Acer's Predator XB271HU WQHD display is about to turbocharge your gaming experience. This monitor combines jaw dropping specs, TN panel that supports 144Hz refresh rate, delivering an amazing gaming experience. Also, featuring NVIDIA G-SYNC technology to eliminate screen tearing which provide gamers the epic gaming experience and help to secure the victory. Plus, built-in eye protection and ergonomics allow you to press forward into battle without fatigue. NOTE: Kindly refer the user manual before usage of the product. The brightness is 350 nit. Viewing Angles 170° Horizontal and 160° Vertical. Stand Tilt (-5°~35°), Swivel (30°) and Height adj (5.91"").",monitors
"Acer Predator Z35 35-inch Curved Full HD (2560 x 1080) NVIDIA G-Sync Display, 144Hz, 2x9w speakers, HDMI & DP","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27"" 1800R full HD (1920 x 1080) Curved widescreen with NVIDIA G-SYNC technology Refresh rate: 144Hz (using Display port) Response time: 4ms.Brightness:300 nit Pixel Pitch: 0.3114mm Signal Inputs: 1 x Display port & 1 x HDMI","Style: Curved UltraWide Full HD (2560 x 1080) G-SYNC | 

Size: 35-Inch Get the edge on your opponents with a massive 35” UltraWide curved monitor with a lightning-fast refresh rate and NVIDIA G-SYNC. The Predator Z35 curved screen transforms your viewing experience drawing you deep into the action while NVIDIA G-SYNC technology eliminates screen tearing for an epic gaming experience.",monitors
"Acer EI292CUR Pbmiipx 29"" 1200R 21:9 Curved Full HD UltraWide 2560 x 1080 Radeon FreeSync Gaming Monitor, Up to 100Hz Refresh Rate, 1ms VRB (1 x Display Port, 1 x HDMI 2.0 Port and 1 x HDMI 1.4 Port)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 29.0"" Full HD (2560 x 1080) 1200R Curved Widescreen VA Gaming Monitor AMD FreeSync Technology | 21:9 Aspect Ratio Zero-Frame Design | 2 Speakers, 2 Watts per Speaker Refresh Rate: Up to 100Hz | Response Time: 1ms VRB | Pixel Pitch: 0.26595mm","Acer's EI292CUR 29"" curved panel monitor with Full HD UltraWide resolution delivers the incredible.Through AMD Radeon technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Crisp, true-to-life colors come alive with the amazing 2560 x 1080 resolution, allowing you to enjoy High-Definition entertainment in the comfort of your home. The wide view angle technology lets you share what's on your screen with friends and family as colors stay true no matter what angle you're viewing from. Incredible 100,000,000:1 contrast ratio and rapid response time ensure your games, work and movies are smooth and look as epic as possible. (UM.RE2AA.P01)",monitors
"Acer XG270HU omidpx 27-inch WQHD AMD FREESYNC (2560 x 1440) Widescreen Monitor, WQHD (2560 x 1440), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Acer XG 27"" monitor features WQHD resolution (2560 x 1440) presenting stunning, high quality images with excellent detail that not only enhances users’ working efficiency, but creates outstanding visual enjoyment. With AMD Free Sync, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, which eliminates screen tearing and delivers very smooth gaming experiences. A fast response time of 1ms enhances the in-game experience. No matter how fast-moving the action is, transitions are rendered smoothly without the annoying effects of smearing or ghosting. Signal Inputs: 1x DVI, 1 x HDMI 2. 0 & 1 x Display Port","Style: WQHD (2560 x 1440) | 

Size: 27-Inch In competitive gaming, every frame matters. Introducing Acer's XG Series gaming monitor - the WQHD resolution monitor that can keep up with your game play. Through AMD Free Sync technology, the game's frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less, low dimming and Comfy View display. The Zero Frame design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. Power 27.81 Watts (Power On), Viewing Angles 170 Degrees Horizontal and 160 Degrees Vertical.",monitors
"Acer ET322QU 32""(31.5"" viewable) Black Freesync 75Hz LED IPS Monitor 2560x1440 Widescreen 16:9 4ms Response Time 250 cd/m2 1000:1 DisplayPort, HDMI, VGA, Speakers","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Screen Size: 31.5"" Maximum Resolution: 2560 x 1440 Contrast Ratio: 100,000,000:1","Brand: Acer Series: ET2 Model: UM.JE2AA.005 Cabinet Color: Black Screen Size: 31.5"" LED Backlight: LED Maximum Resolution: 2560 x 1440 Brightness: 2500 Nit Contrast Ratio: 100,000,000:1 Aspect Ratio: 16:9 Response Time: 4ms Display Type: WQHD HDMI: Yes",monitors
"Acer Predator XB253Q GWbmiiprzx 24.5""Full HD (1920 x 1080) IPS G-SYNC Compatible Monitor, VESA Certified DisplayHDR400, Up to 0.5ms, Up to 280Hz, 99% sRGB (1 x Display Port & 2 x HDMI 2.0 Ports)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 24.5"" Full HD (1920 x 1080) Widescreen IPS NVIDIA G-SYNC Compatible Gaming Monitor Zero-Frame Design | 2 Speakers, 2 Watts per Speaker Refresh Rate: Up to 280Hz | Response Time: Up to 0.5ms (G to G) | VESA Certified DisplayHDR 400 | Pixel Pitch: 0.283mm | Color Gamut: 99% sRGB Ergonomic Tilt: -5° to 25° | Height Adjustment Range: 4.5"" | Swivel: +/- 20° | Pivot: +/- 90° Ports: 1 x Display Port, 2 x HDMI 2.0, 1 x Audio-out & 4 x USB 3.0 Ports (Display Port, HDMI & USB Cable Included)","Fasten your seatbelt: The Predator XB253Q Full HD display with 1920 x 1080 resolution is all about no compromises on gaming performance, color or speed. This 24.5-inch (1920 x 1080) monitor combines jaw dropping specs including an IPS panel that supports up to a blazing-fast 280Hz refresh rate. This G-SYNC Compatible monitor takes gameplay to the next level of smooth. Unleash gaming’s maximum potential to provide richer colors far beyond what has been previously possible. Experience something new. (UM.KX3AA.W01)",monitors
"Acer EI272UR Pbmiiipx 27"" 1500R Curved WQHD (2560 x 1440) VA Gaming Monitor with AMD Radeon FreeSync2 HDR Technology, 144Hz, VESA Certified DisplayHDR400, DCI-P3 (Display Port & 3 x HDMI Ports), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 1500R curved display with 16: 9 aspect ratio | high Brightness and contrast with VESA Certified displays 400 | response time: 4ms (g to G) Dci-p3 90% wide Color gamut | 144Hz refresh rate - Using Display port or HDMI 2. 0 Zero frame Design | 2 speakers at 3 watts per speaker Ports: 1 x Display Port, 1 x HDMI V2. 0, 2 x HDMI V1. 4 & Audio out (HDMI cable included)",,monitors
"Acer CB342CK smiiphzx 34"" UltraWide QHD (3440 x 1440) IPS Zero Frame Monitor with AMD Radeon FREESYNC Technology - HDR Ready, 1ms VRB, 75Hz Refresh, Silver","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 34"" Qhd (3440 x 1440) Ultra wide IPS display with AMD Radeon free Sync technology Hdr Ready response time: 1ms VRB Refresh Rate: 75Hz Zero frame Design ergostand: ergonomically-designed stand Ports: 1 x Display Port v1.4, 2 x HDMI v2.0, 2 x USB 3.0 Ports & 1 x Audio-Out (HDMI & USB cable included)","Enjoy an outstanding visual experience with an Acer CB342CK Zero Frame IPS monitor. Designed with prosumers in mind, this display features incredible images and colors. Through AMD Radeon FreeSync technology, the frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less and low dimming display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM. CB2AA. 001)",monitors
"Acer Predator XB273K Sbmiprzx 27"" UHD (3840 x 2160) IPS NVIDIA G-SYNC Monitor, VESA Certified DisplayHDR 400, Quantum Dot, 144Hz, 4ms, DCI-P3, Delta E<2 (1 x Display Port & 1 x HDMI Port),Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27"" UHD 4K (3840 x 2160) Widescreen IPS Display with NVIDIA G-SYNC Technology Refresh Rate: 120Hz (OverClocking to 144Hz) High Brightness and Contrast with VESA Certified DisplayHDR 400 DCI-P3 90% Wide Color Gamut | Optimize Colors with Quantum Dot Technology | No Color Difference with Delta E<1 Ports: 1 x Display Port v1. 4, 1 x HDMI v2. 0 & 4 x USB 3. 0 Ports (Display Port & USB Cable Included)","Fasten your seatbelt: The Predator XB273K Ultra HD display with 4K resolution is all about no compromises on gaming performance, color or speed. This 27-inch (3840 x 2160) monitor combines jaw dropping specs including an IPS panel that supports blazing-fast refresh rate. Also, featuring NVIDIA G-SYNC technology to eliminate screen tearing which provide gamers the epic gaming experience and help to secure the victory. Plus, built-in eye protection and ergonomics allow you to press forward into battle without fatigue. (UM. HX3AA. S01)",monitors
"Acer K243Y - 24"" Monitor Full HD 1920x1080 IPS 75Hz 1ms 250Nit HDMI","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) This Certified Refurbished product is Certified Factory refurbished, shows limited or no wear, and includes all original accessories plus a 90-day warranty. Full HD 1920x1080 resolution. Easily adjust display settings to best suit whatever you're viewing – data, media, movies or photos. The 23.8"" display will amaze you.","In competitive gaming, every frame matters. Introducing Acer's K243Y gaming monitor - the Full HD resolution monitor that can keep up with your game play. Through AMD Radeon FreeSync technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge.",monitors
"Acer Predator XB273 Xbmiprzx 27"" FHD (1920 x 1080) IPS NVIDIA G-SYNC Gaming Monitor with Up to 0.1ms (G to G), 240Hz, 99% sRGB (1 x Display Port & 1 x HDMI Port), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27"" FHD (1920 x 1080) Widescreen NVIDIA G-SYNC - Tear Free Gaming - Zero Frame Design Display Refresh Rate: 240Hz | Response Time: 1ms (G to G) - Up to 0.1ms (G to G) Ergonomic Tilt: -5° to 20° | Height Adjustment Range: 4.5"" | Swivel: +/-20° | Pivot: Yes Color Saturation: 99% sRGB | Brightness: 350nits Ports: 1 x Display Port 1.2, 1 x HDMI v2.0, Audio Out & 4 x USB 3.0 Ports (Display Port & USB Cable Included)","Fasten your seatbelt: The Predator XB273 Full HD display with 1920 x 1080 resolution is all about no compromises on gaming performance, color or speed. This 27-inch (1920 x 1080) monitor combines jaw dropping specs including an IPS panel that supports blazing-fast 240Hz refresh rate.Also, featuring NVIDIA G-SYNC technology to eliminate screen tearing which provide gamers the epic gaming experience and help to secure the victory. Plus, built-in eye protection and ergonomics allow you to press forward into battle without fatigue. (UM.HX3AA.X02)",monitors
"Acer V226HQL 21.5"" Full HD LED LCD Monitor - 16:9 - Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Product type :MONITOR Package dimensions :11.43 cm L x41.91 cm W x55.88 cm H These sturdy monitors also have a wide array of ports, so you can connect many types of devices and do more at once. package weight :7.0lbs",,monitors
Acer Nitro QG1 Series QG221Q 21.5in Full HD VA Gaming LED LCD w/FreeSync,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Number of Screens: 1 Viewable Screen Size: 21.5"" Screen Mode: Full HD Panel Technology: Vertical Alignment (VA) Response Time: 1 ms VRB",,monitors
"Acer Nitro XV272U Xbmiipruzx 27"""" WQHD (2560 x 1440) Agile-Splendor IPS Monitor, AMD Radeon FREESYNC, Up to 270Hz, Up to 0.5ms, DisplayHDR400, 99% Adobe RGB, (DP, 2 x HDMI & USB Type-C 65W), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) ""27"" wqhd (2560 x 1440) widescreen agile-splendor ips monitor with amd radeon freesync premium technology"" refresh rate: overclock to 270hz (using display port or usb type-c), response time: 1ms (g to g) - up to 0.5ms (g to g),, brightness: native: 350 nits, hdr mode: peak 400 nits high brightness and contrast with vesa certified displayhdr 400, color gamut: 99% adobe rgb, color accuracy: delta e<2 ""ergonomic tilt: -5° to 25°, height adjustment range: 4.7"", swivel: 360°, pivot: yes"" ports: 1 x usb 3.1 (type-c) port, 1 x display port, 2 x hdmi 2.0, 1 x audio-out & 4 x usb 3.0 ports (display port, hdmi & usb cable included)","In competitive gaming, every frame matters. Introducing Acer's XV272U gaming monitor - the WQHD (2560 x 1440) resolution monitor that can keep up with your game play. Through AMD Radeon Premium technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less, low dimming and ComfyView display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM.HX2AA.X03). Power 32.50 W (Power On).",monitors
"Acer Nitro KG272 Sbmiipx 27"" Full HD (1920 x 1080) Zero-Frame Gaming Monitor with AMD FreeSync Premium Technology, Up to 165Hz Refresh Rate, Up to 0.5ms, (1 x Display Port, 2 x HDMI 2.0 Ports)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27.0"" Full HD (1920 x 1080) Widescreen IPS Gaming Monitor Zero-Frame Design | 2 Speakers, 2 Watts per Speaker Refresh Rate: Up to 165Hz | Response Time: Up to 0.5ms (G to G) | HDR Ready | Pixel Pitch: 0.311mm Ports: 1 x Display Port 1.2 & 2 x HDMI 2.0 (HDMI Cable Included)","In competitive gaming, every frame matters. Introducing Acer's KG272 gaming monitor - the Full HD (1920 x 1080) resolution monitor that can keep up with your game play. Through AMD Radeon technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less, low dimming and ComfyView display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM.HX2AA.S03)",monitors
"Acer Predator Gaming X34 Pbmiphzx Curved 34"" UltraWide QHD Monitor with NVIDIA G-SYNC Technology (Display Port & HDMI Port),Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 34"" QHD (3440 x 1440) 1900R Curved Widescreen IPS Display Refresh Rate: 100Hz (Overclocking to 120Hz) Using Display Port Ports: 1 x Display Port 1.2, 1 x HDMI 1.4 & 4 USB 3.0 Ports Display Port, HDMI & USB Cables included","Style: Curved (1900R) UltraWide QHD (3440 x 1440) IPS G-SYNC | 

Size: 34-Inch The Predator X34P is designed for ultimate gaming performance and style, the 21:9 aspect ratio and 34-inch curved screens transform your viewing experience by drawing you deep into the action. It also features NVIDIA G-SYNC technology to eliminate screen tearing which provide gamers the epic gaming experience and help to secure the victory. The brightness is 300 cd/m²",monitors
"Acer V247Y bmipx 23.8"" Full HD (1920 x 1080) IPS Monitor (Display Port, HDMI & VGA Ports), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 23. 8"" Full HD (1920 x 1080) widescreen IPS Zero-Frame design Display Response time: 4ms 2 speakers, 2 Watts per speaker Ergonomic tilt: -5 degrees to 25 degrees Ports: 1 x Display Port, 1 x HDMI & 1 x VGA (Display port & VGA cables included)",,monitors
"Acer Nitro VG270 Sbmiipx 27"" Full HD (1920 x 1080) IPS Gaming Monitor with AMD Radeon FREESYNC Technology, Up to 0.1ms, OverClocking to 165Hz, (1 x Display Port, 2 x HDMI 2.0 Ports)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27"" Full HD (1920 x 1080) Widescreen IPS Zero Frame Monitor with AMD Radeon FreeSync Technology Refresh Rate: 144Hz (OverClocking to 165Hz Using Display Port) Response Time: 2ms (G to G) - Up to 0.1ms (G to G) 2 speakers, 2 watts per speaker Ports: 1 x Display Port, 2 x HDMI 2.0 Ports & 1 x Audio Out (Display Port Cable Included)","In competitive gaming, every frame matters. Introducing Acer's VG270 gaming monitor - the Full HD resolution monitor that can keep up with your game play. Through AMD Radeon technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less, low dimming and ComfyView display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM.HV0AA.S01)",monitors
"Acer Nitro XV273K Pbmiipphzx 27"" UHD 3840 x 2160 IPS AMD Radeon FreeSync and NVIDIA G-SYNC Compatible Monitor, DisplayHDR400, Quantum Dot, 144Hz, 1ms, DCI-P3 , Delta E<1, Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27"" HD 4K (3840 x 2160) widescreen IPS zero frame AMD Radeon free Sync and G SYNC compatible monitor Response time: 1ms VRB | refresh rate: 120Hz (overclocking to 144Hz) Using 2 Display Ports 2 speakers, 4 Watts per speaker Visa Certified displays 400, Quantum dot technology | DCI P3 | low Delta e<1 Ports: 2 x Display Port V1. 4, 2 x HDMI V2 0 & 4 x USB 3. 0 Ports (includes display port & USB cables)","Size: 27-inch UHD (3840 x 2160) Fasten your seatbelt: The Nitro XV273K Ultra HD display with 4K resolution is all about no compromises on gaming performance, color or speed. This 27 inch (3840 x 2160) monitor combines jaw dropping specs including an IPS panel that supports blazing fast refresh rate. This G SYNC Compatible monitor gives you more of what you want in a gaming experience. Smooth, tear free gameplay! ! Unleash gaming's maximum potential to provide richer colors far beyond what has been previously possible. Experience something new. (UM. HX3AA. P02)",monitors
"Acer CB242Y bmiprux 23.8"" Full HD (1920 x 1080) IPS Frameless, AMD FreeSync, 1ms VRB, ErgoStand Monitor (Display Port, HDMI & USB Type-C Ports) Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 23.8"" Full HD (1920 x 1080) Widescreen IPS Monitor AMD FreeSync Technology | Zero-Frame Design Refresh Rate: 75Hz | Response Time: 1ms VRB | Brightness: 250 nits | Pixel Pitch: 0.2745mm 16:9 Aspect Ratio | 16.7 million colors supported | Tilt: -5 degrees to 20 degrees | Height Adjustment Range: 4.7"" | Swivel: 360° | Pivot Ports: 1 x USB 3.1 (Type-C) port (Gen 1 up to 5 Gbps) supporting data, power (15W) and DisplayPort over USB-C, 1 x Display Port, 1 x HDMI & 1 x Audio-out (HDMI and USB Type-C Cable Included)","Enjoy an outstanding visual experience with an Acer CB242Y Zero Frame IPS monitor. Designed with prosumers in mind, this display features incredible images and colors. Through AMD FreeSync technology, the frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less and low dimming display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM.QB2AA.008)",monitors
"Acer EB321HQU Cbidpx 31.5"" WQHD (2560 x 1440) IPS Monitor (Display Port, HDMI & DVI port),Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 31.5"" WQHD (2560 x 1440) Widescreen IPS Display Refresh Rate: 60Hz. Dimensions without stand-28.58 W x 16.67 H x 1.95 D inches Response Time: 4ms (G to G) Acer VisionCare Technologies Ports: 1 x Display Port 1.2, 1 x HDMI 1.4 & 1 x DVI (w/HDCP) (HDMI Cable Included)","Pattern Name: Monitor | 

Style: WQHD (2560 x 1440) | 

Color: Black The Acer EB321HQU Cbidpx 31.5"" LCD with LED-backlit display combines stylish functionality with amazing 2560 x 1440 resolution, allowing you to enjoy High-Definition entertainment in the comfort of your home. Incredible 100,000,000:1 contrast ratio and rapid 4ms response time highlight the advanced technology. The EB321HQU Cbidpx LCD also features Display, HDMI & DVI ports for greater compatibility. (UM.JE1AA.C01). Brightness 300 cd/m² and Power 50 W (Power On).",monitors
"Acer Nitro QG241Y Pbmiipx 23.8"" Full HD (1920 x 1080) VA Gaming Monitor with AMD FreeSync Premium Technology, Up to 165Hz, 1ms (VRB), HDR10, (1 x Display Port 1.2, 1 x HDMI 2.0 & 1 x HDMI 1.4)","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 23.8"" Full HD (1920 x 1080) Widescreen VA Gaming Monitor Zero-Frame Design | 2 Speakers, 2 Watts per Speaker | HDR10 Support Refresh Rate: Up to 165Hz | Response Time: 1ms VRB | Brightness: 250 nits | Pixel Pitch: 0.2745mm Ports: 1 x Display Port 1.2, 1 x HDMI 2.0, 1 x HDMI 1.4 and 1 x Audio Out (HDMI Cable Included)","In competitive gaming, every frame matters. Introducing Acer's QG241Y gaming monitor - the Full HD (1920 x 1080) resolution monitor that can keep up with your game play. Through AMD FreeSync Premium technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less, low dimming and ComfyView display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display. (UM.QQ1AA.P01)",monitors
"Acer Predator XB323U GPbmiiphzx 32"" WQHD (2560 x 1440) IPS NVIDIA G-SYNC Compatible Monitor, VESA Certified DisplayHDR600, Up to 0.5ms, 170Hz, (1 x Display Port, 2 x HDMI and 4 x USB 3.0), Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) Up to 170Hz Refresh Rate using Display Port High Brightness and Contrast with VESA Certified DisplayHDR 600 | 99% Adobe RGB Response Time: 1ms (G to G) - Up to 0.5ms (G to G) Ports: 1 x Display Port 1.2, 2 x HDMI v2.0, Audio Out & 4 x USB 3.0 Ports (HDMI, Display Port and USB Cables included)","Fasten your seatbelt: The Predator XB323U WQHD display with 2560 x 1440 resolution is all about no compromises on gaming performance, color or speed. This 32-inch (2560 x 1440) monitor combines jaw dropping specs including an IPS panel that supports blazing-fast 170Hz refresh rate. This G-SYNC Compatible monitor takes gameplay to the next level of smooth. Unleash gaming’s maximum potential to provide richer colors far beyond what has been previously possible. Experience something new. (UM.JX3AA.P01)",monitors
"Acer Nitro XZ270 Xbmiipx 27"" 1500R Curved Full HD (1920 x 1080) VA Zero-Frame Gaming Monitor with Adaptive Sync, 240Hz Refresh Rate and 1ms VRB (Display Port & 2 x HDMI 2.0 Ports) , Black","About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) 27.0"" Full HD (1920 x 1080) 1500R Curved Widescreen VA Gaming Monitor Adaptive-Sync Technology | Zero-Frame Design | 2 Speakers, 2 Watts per Speaker Refresh Rate: 240Hz | Response Time: 1ms VRB | Pixel Pitch: 0.3114mm Ergonomic Tilt: -5° to 25° | Height Adjustment Range: 4.7"" | Swivel: +/-180° Ports: 1 x Display Port & 2 x HDMI 2.0 (HDMI Cable Included)",,monitors
